"","Brendan Wenzel","Caden Powell","Akuel Kot","Sam Griffin","Cam Manyawu"
"CONCENTRIC_MEAN_FORCE_BM",0,0,0,1,0
"ECCENTRIC_PEAK_POWER_BM",0,0,0,0,0
"ECCENTRIC_PEAK_POWER_CONCENTRIC_PEAK_POWER",0,0,0,0,0
"P_2_CONCENTRIC_IMPULSE_P_1_CONCENTRIC_IMPULSE",0,0,0,0,0
"CONCENTRIC_IMPULSE_100_MS_CONCENTRIC_IMPULSE",0,0,0,0,0
"LANDING_IMPULSE",0,0,0,0,0
"LANDING_RFD_50_MS",0,0,0,0,0
"ECCENTRIC_DECELERATION_IMPULSE_BM",0,0,0,0,0
"DISPLACEMENT_AT_TAKEOFF",0,0,0,0,0
"FORCE_AT_ZERO_VELOCITY_BM",0,0,0,0,0
"RSI_MODIFIED_IMP_MOM",0,0,0,0,0
"Mean",0.107142857142857,0.0535714285714286,0.0803571428571429,0.160714285714286,0.0267857142857143
"Sum",12,6,9,18,3
