index,Feature,Coefficient,Player
SPEEDMAX,ECCENTRIC_MEAN_FORCE,0.014812204989048991,2
JUMPS,ECCENTRIC_MEAN_FORCE,0.005996840958357386,2
PHYSIOLOAD,ECCENTRIC_MEAN_FORCE,0.015912026134208643,2
EXERTIONS,ECCENTRIC_MEAN_FORCE,0.0008087299188859331,2
DISTANCE,ECCENTRIC_MEAN_FORCE,0.014220253258237482,2
AAL,ECCENTRIC_MEAN_POWER,0.060050492055649836,2
SPEEDMAX,ECCENTRIC_MEAN_POWER,-0.027072398036532316,2
JUMPS,ECCENTRIC_MEAN_POWER,0.06356877644475345,2
PHYSIOLOAD,ECCENTRIC_MEAN_POWER,0.05405767410716628,2
EXERTIONS,ECCENTRIC_MEAN_POWER,0.001903778455472382,2
DISTANCE,ECCENTRIC_MEAN_POWER,0.04831024095887727,2
AAL,ECCENTRIC_MEAN_POWER_BM,0.06305802848960033,2
SPEEDMAX,ECCENTRIC_MEAN_POWER_BM,-0.05813305756883807,2
JUMPS,ECCENTRIC_MEAN_POWER_BM,0.08165549118344162,2
PHYSIOLOAD,ECCENTRIC_MEAN_POWER_BM,0.053709993634589746,2
EXERTIONS,ECCENTRIC_MEAN_POWER_BM,0.0012022679176721543,2
DISTANCE,ECCENTRIC_MEAN_POWER_BM,0.04799952600899993,2
AAL,TAKEOFF_PEAK_FORCE,0.066420132575303,2
SPEEDMAX,TAKEOFF_PEAK_FORCE,0.08084168451224913,2
JUMPS,TAKEOFF_PEAK_FORCE,0.038933018070952834,2
PHYSIOLOAD,TAKEOFF_PEAK_FORCE,0.06920049696538597,2
EXERTIONS,TAKEOFF_PEAK_FORCE,-0.011978607401219761,2
DISTANCE,TAKEOFF_PEAK_FORCE,0.061843073182373885,2
AAL,CONTRACTION_TIME,0.00041574121456646796,2
SPEEDMAX,CONTRACTION_TIME,0.0035682715688700475,2
JUMPS,CONTRACTION_TIME,-0.0029000583280653102,2
PHYSIOLOAD,CONTRACTION_TIME,0.0017313355955301476,2
EXERTIONS,CONTRACTION_TIME,0.0016175574280688182,2
DISTANCE,CONTRACTION_TIME,0.0015472592741782299,2
AAL,ECCENTRIC_DURATION,0.0040981819400805,2
SPEEDMAX,ECCENTRIC_DURATION,0.027858424223193234,2
JUMPS,ECCENTRIC_DURATION,-0.020174149030109587,2
PHYSIOLOAD,ECCENTRIC_DURATION,0.01190616096956857,2
EXERTIONS,ECCENTRIC_DURATION,0.005576963330305424,2
DISTANCE,ECCENTRIC_DURATION,0.010640293099785057,2
AAL,CONTRACTION_TIME_ECCENTRIC_DURATION,-0.019011334666730523,2
SPEEDMAX,CONTRACTION_TIME_ECCENTRIC_DURATION,-0.08260264206299099,2
JUMPS,CONTRACTION_TIME_ECCENTRIC_DURATION,0.05280462773817305,2
PHYSIOLOAD,CONTRACTION_TIME_ECCENTRIC_DURATION,-0.02969781977233969,2
EXERTIONS,CONTRACTION_TIME_ECCENTRIC_DURATION,0.026711980736929965,2
DISTANCE,CONTRACTION_TIME_ECCENTRIC_DURATION,-0.02654033610243722,2
AAL,ECCENTRIC_CONCENTRIC_DURATION,0.02291211703989857,2
SPEEDMAX,ECCENTRIC_CONCENTRIC_DURATION,0.09438001526959619,2
JUMPS,ECCENTRIC_CONCENTRIC_DURATION,-0.05213543081548388,2
PHYSIOLOAD,ECCENTRIC_CONCENTRIC_DURATION,0.036706551906414,2
EXERTIONS,ECCENTRIC_CONCENTRIC_DURATION,-0.02042059526504858,2
DISTANCE,ECCENTRIC_CONCENTRIC_DURATION,0.032803897335368364,2
AAL,FLIGHT_TIME_CONTRACTION_TIME,0.011439262324770669,2
SPEEDMAX,FLIGHT_TIME_CONTRACTION_TIME,0.0026113431301791686,2
JUMPS,FLIGHT_TIME_CONTRACTION_TIME,0.03406428338577722,2
PHYSIOLOAD,FLIGHT_TIME_CONTRACTION_TIME,0.012660948518870164,2
EXERTIONS,FLIGHT_TIME_CONTRACTION_TIME,-0.007766177678861163,2
DISTANCE,FLIGHT_TIME_CONTRACTION_TIME,0.011314831809925669,2
AAL,FLIGHT_TIME_ECCENTRIC_DURATION,0.00861349058491003,2
SPEEDMAX,FLIGHT_TIME_ECCENTRIC_DURATION,-0.006305571754472815,2
JUMPS,FLIGHT_TIME_ECCENTRIC_DURATION,0.03887029045289457,2
PHYSIOLOAD,FLIGHT_TIME_ECCENTRIC_DURATION,0.008828649080877729,2
EXERTIONS,FLIGHT_TIME_ECCENTRIC_DURATION,-0.004290317609598416,2
DISTANCE,FLIGHT_TIME_ECCENTRIC_DURATION,0.007889983938081895,2
AAL,BRAKING_PHASE_DURATION,-0.030199833115297895,2
SPEEDMAX,BRAKING_PHASE_DURATION,-0.02742551632364729,2
JUMPS,BRAKING_PHASE_DURATION,-0.0054423008089392886,2
PHYSIOLOAD,BRAKING_PHASE_DURATION,-0.03250715106281617,2
EXERTIONS,BRAKING_PHASE_DURATION,0.018944223160384244,2
DISTANCE,BRAKING_PHASE_DURATION,-0.029050978311616113,2
AAL,ECCENTRIC_ACCELERATION_PHASE_DURATION,0.015260746628193687,2
SPEEDMAX,ECCENTRIC_ACCELERATION_PHASE_DURATION,0.08780451642354761,2
JUMPS,ECCENTRIC_ACCELERATION_PHASE_DURATION,-0.058142436455107915,2
PHYSIOLOAD,ECCENTRIC_ACCELERATION_PHASE_DURATION,0.027618650272841404,2
EXERTIONS,ECCENTRIC_ACCELERATION_PHASE_DURATION,0.012610347559127487,2
DISTANCE,ECCENTRIC_ACCELERATION_PHASE_DURATION,0.02468222446517692,2
AAL,ECCENTRIC_DECELERATION_PHASE_DURATION,0.0,2
SPEEDMAX,ECCENTRIC_DECELERATION_PHASE_DURATION,0.0,2
JUMPS,ECCENTRIC_DECELERATION_PHASE_DURATION,0.0,2
PHYSIOLOAD,ECCENTRIC_DECELERATION_PHASE_DURATION,0.0,2
EXERTIONS,ECCENTRIC_DECELERATION_PHASE_DURATION,0.0,2
DISTANCE,ECCENTRIC_DECELERATION_PHASE_DURATION,0.0,2
AAL,BRAKING_PHASE_DURATION_CONTRACTION_TIME,-0.08136143232852239,2
SPEEDMAX,BRAKING_PHASE_DURATION_CONTRACTION_TIME,-0.12321556381197896,2
JUMPS,BRAKING_PHASE_DURATION_CONTRACTION_TIME,0.02569691601474644,2
PHYSIOLOAD,BRAKING_PHASE_DURATION_CONTRACTION_TIME,-0.10525419050680085,2
EXERTIONS,BRAKING_PHASE_DURATION_CONTRACTION_TIME,0.03181217164706548,2
DISTANCE,BRAKING_PHASE_DURATION_CONTRACTION_TIME,-0.0940635237198414,2
AAL,BRAKING_PHASE_DURATION_CONCENTRIC_DURATION,-0.08564599189375581,2
SPEEDMAX,BRAKING_PHASE_DURATION_CONCENTRIC_DURATION,-0.07902123965866541,2
JUMPS,BRAKING_PHASE_DURATION_CONCENTRIC_DURATION,-0.009150858813949938,2
PHYSIOLOAD,BRAKING_PHASE_DURATION_CONCENTRIC_DURATION,-0.10564788310537347,2
EXERTIONS,BRAKING_PHASE_DURATION_CONCENTRIC_DURATION,0.019906832279784157,2
DISTANCE,BRAKING_PHASE_DURATION_CONCENTRIC_DURATION,-0.09441535869832575,2
AAL,ECCENTRIC_MEAN_DECELERATION_FORCE,0.04340767790442345,2
SPEEDMAX,ECCENTRIC_MEAN_DECELERATION_FORCE,0.02818748933429433,2
JUMPS,ECCENTRIC_MEAN_DECELERATION_FORCE,0.019826234027076152,2
PHYSIOLOAD,ECCENTRIC_MEAN_DECELERATION_FORCE,0.036938832535255366,2
