"","Player","Feature","AAL","Max Speed","Jumps","Physio-load","Exertions","Distance"
"1",1,"Time",0.0361388300808225,0.054851394369285,-0.0505946532594987,0.0113716211011486,-0.0477385353610726,0.022305618357364
"2",1,"Peak Power per Body Mass",-0.00705871924523815,-0.0804379709646996,-0.0401166300211496,0.00128293471631085,-0.0146844178924101,-0.0127680525783464
"3",1,"Jump Height from Displacement",0.00244626977594698,-0.042600332263328,-0.0243644832819997,0.00596025808874168,-0.0127893570090627,-0.00280678202542446
"4",1,"Eccentric Mean Force",0,0,0,0,0,0
"5",1,"Eccentric Mean Power",0,0,0,0,0,0
"6",1,"Peak Takeoff Force",-0.0138847239953266,-0.0241489685434338,-0.0115023987176371,-0.00796062770235147,-0.00702387583676364,-0.0128844620341581
"7",1,"Peak Power",-0.0139888857550362,-0.0446458771192678,-0.0214382852146388,-0.00560245910418092,-0.0110322476346595,-0.0141836320804998
"8",1,"Braking Phase Duration",0.0807351476088233,0.109309479728269,0.107428423484687,0.0250866152207234,0.0471442782116324,0.058373562157477
"9",1,"Eccentric Mean Braking Force",-0.0270110009109342,-0.0291460175951922,-0.0248812787932055,-0.0141821653251092,-0.0177130480804962,-0.0228689415749857
"10",1,"Eccentric Mean Deceleration Force",-0.0228492383778877,-0.0204760948876566,-0.0233343501567206,-0.0108960701289743,-0.0159409159153748,-0.0185334806740056
"11",1,"Force at Peak Power",-0.0213611576187034,-0.0468415108526079,-0.0217017192317296,-0.0105474633256939,-0.0110691141270142,-0.019247326267586
"12",1,"Eccentric Braking Rate of Force Development per Body Mass",-0.0272071119752059,-0.0351878506787582,-0.0315434263678343,-0.0105936468627092,-0.015767684050843,-0.0205014875577099
"13",1,"Concentric Peak Force",-0.0151060067240435,-0.0262738063885806,-0.012514656369953,-0.00866070163259971,-0.00764185846501919,-0.014017751242283
"14",1,"Lower-Limb Stiffness",-0.0148883238746371,-0.0208537947014895,-0.015284013995328,-0.00592775680394479,-0.00612535800639936,-0.011105081873891
"15",2,"Time",0.120405637033047,0.0198509054038955,0.00451514463600742,0.106620592067531,-0.064135298928724,0.0952846476194199
"16",2,"Eccentric Mean Force",0.0156717326671493,0.014812204989049,0.00599684095835739,0.0159120261342086,0.000808729918885933,0.0142202532582375
"17",2,"Eccentric Mean Power",0.0600504920556498,-0.0270723980365323,0.0635687764447534,0.0540576741071663,0.00190377845547238,0.0483102409588773
"18",2,"Eccentric Mean Power per Body Mass",0.0630580284896003,-0.0581330575688381,0.0816554911834416,0.0537099936345897,0.00120226791767215,0.0479995260089999
"19",2,"Peak Takeoff Force",0.066420132575303,0.0808416845122491,0.0389330180709528,0.069200496965386,-0.0119786074012198,0.0618430731823739
"20",2,"Contraction Time",0.000415741214566468,0.00356827156887005,-0.00290005832806531,0.00173133559553015,0.00161755742806882,0.00154725927417823
"21",2,"Eccentric Duration",0.0040981819400805,0.0278584242231932,-0.0201741490301096,0.0119061609695686,0.00557696333030542,0.0106402930997851
"22",2,"Contraction Time to Eccentric Duration Ratio",-0.0190113346667305,-0.082602642062991,0.0528046277381731,-0.0296978197723397,0.02671198073693,-0.0265403361024372
"23",2,"Eccentric to Concentric Duration Ratio",0.0229121170398986,0.0943800152695962,-0.0521354308154839,0.036706551906414,-0.0204205952650486,0.0328038973353684
"24",2,"Flight Time to Contraction Time Ratio",0.0114392623247707,0.00261134313017917,0.0340642833857772,0.0126609485188702,-0.00776617767886116,0.0113148318099257
"25",2,"Flight Time to Eccentric Duration Ratio",0.00861349058491003,-0.00630557175447282,0.0388702904528946,0.00882864908087773,-0.00429031760959842,0.00788998393808189
"26",2,"Braking Phase Duration",-0.0301998331152979,-0.0274255163236473,-0.00544230080893929,-0.0325071510628162,0.0189442231603842,-0.0290509783116161
"27",2,"Eccentric Acceleration Phase Duration",0.0152607466281937,0.0878045164235476,-0.0581424364551079,0.0276186502728414,0.0126103475591275,0.0246822244651769
"28",2,"Eccentric Deceleration Phase Duration",0,0,0,0,0,0
"29",2,"Braking Phase to Contraction Time Ratio",-0.0813614323285224,-0.123215563811979,0.0256969160147464,-0.105254190506801,0.0318121716470655,-0.0940635237198414
"30",2,"Braking Phase to Concentric Duration Ratio",-0.0856459918937558,-0.0790212396586654,-0.00915085881394994,-0.105647883105373,0.0199068322797842,-0.0944153586983257
"31",2,"Eccentric Mean Deceleration Force",0.0434076779044235,0.0281874893342943,0.0198262340270762,0.0369388325352554,-0.00200633917075753,0.0330114816195882
"32",2,"First Half Concentric Impulse",0.021366497477325,0.0339426956577348,0.0183038111826336,0.0295282718690532,0.00752364163635973,0.0263888142962047
"33",2,"Eccentric Braking Rate of Force Development",0.0407761997057394,0.0680586195112092,0.0157256855850665,0.0432830410677543,-0.0232750165792174,0.0386811713097211
"34",2,"Eccentric Braking Rate of Force Development per Body Mass",0.0218046006665223,0.0359399144150869,0.0081298362004627,0.0233183170659824,-0.0153044656399695,0.0208391045717567
"35",2,"Eccentric Deceleration Rate of Force Development",0.014082404430319,0.0337138537617072,0.00328306234170083,0.0114200737855684,-0.00591737431974724,0.0102058872269828
"36",2,"Concentric Peak Force",0.0604760602469802,0.0790384676277766,0.039643486814589,0.0647835777257558,-0.0120878783022848,0.0578957625774233
"37",2,"Eccentric Peak Force",0.0314270457179281,0.0405089745420313,0.0167656134351916,0.0322421210099355,-0.00604557539635894,0.0288141261407206
"38",2,"Mean Eccentric and Concentric Power to Time Ratio",0,0,0,0,0,0
