"","Player","Model","AAL","Max Speed","Jumps","Physio-load","Exertions","Distance","Aggregate"
"1",1,"Intercept",0.389416257908988,0.641373861490127,0.420954825328702,0.410235897162445,0.411102199867007,0.429338077817506,1.92558220045616
"2",1,"Elastic",0.395704639474753,0.61731930932348,0.373630141235266,0.464895389499706,0.443638461444465,0.501852154353409,1.97092431857233
"3",2,"Intercept",0.602622229677739,0.921831963726008,0.662853201437835,0.677267745526706,0.221002344131881,0.605260375307565,2.26328358075547
"4",2,"Elastic",0.653429601632249,1.11477250604282,0.540965223256237,0.737788058208423,0.223809863510494,0.659346145368119,2.48894069518289
"5",3,"Intercept",0.767703230041687,0.41711629373946,0.646927507637054,0.898741347888106,0.414751035960504,0.700178942134046,2.62679640659671
"6",3,"Elastic",0.74017189920272,0.404716210895044,0.598149851901523,0.863374274315265,0.390687897525833,0.700163903691927,2.54378361327223
"7",4,"Intercept",0.621351865302854,0.587822591986774,0.392546830981367,0.65201328126728,0.321908428692708,0.502231349013207,2.12891299315439
"8",4,"Elastic",0.621323977522475,0.596714699068335,0.42317716949305,0.690288281665944,0.341169302167631,0.526973208555808,2.25276726728951
"9",5,"Intercept",0.448534983462813,0.633927444045807,0.845783468068406,0.510993688333915,0.570840135515531,0.502869863608788,2.58186806409579
"10",5,"Elastic",0.47451267941947,0.669679688975136,0.871680112378516,0.544272994544808,0.625269349101474,0.535620093735881,2.6475481257847
"11",NA,NA,-0.0111028461715168,-0.0402260518633277,0.0322926670377545,-0.0302734076111388,-0.0169941459164532,-0.0368153795648061,-0.0755041550086285
